timestamp,top_bid,top_ask,spread,bid_volume,ask_volume
09:33:04.337,72.01,72.06,0.05,7100,5300
09:33:04.659,72.01,72.05,0.04,7100,5400
09:33:04.676,72.01,72.03,0.02,7100,5500
09:33:04.749,72.0,72.03,0.03,7000,5500
09:33:05.828,72.01,72.03,0.02,7033,5500
09:33:09.001,72.0,72.03,0.03,7000,6542
09:33:09.982,72.01,72.03,0.02,7000,6542
09:33:13.902,72.01,72.04,0.03,7100,5487
09:33:13.902,72.01,72.03,0.02,7100,5587
09:33:13.902,72.01,72.04,0.03,7100,5487
09:33:14.179,72.02,72.04,0.02,7300,5287
09:33:14.183,72.01,72.04,0.03,7200,5287
09:33:15.560,72.03,72.04,0.01,7100,5287
09:33:16.070,72.03,72.07,0.04,7200,5200
09:33:16.070,72.03,72.06,0.03,7200,5300
09:33:16.079,72.03,72.07,0.04,7200,5200
09:33:16.542,72.03,72.08,0.05,7300,5300
09:33:17.711,72.03,72.07,0.04,7300,5400
09:33:17.744,72.03,72.06,0.03,7300,5500
09:33:17.746,72.03,72.07,0.04,7300,5400
09:33:17.791,72.03,72.08,0.05,7300,5300
09:33:18.698,72.03,72.07,0.04,7500,5500
09:33:19.748,72.03,72.06,0.03,7400,5600
09:33:22.178,72.03,72.07,0.04,7400,5500
09:33:23.249,72.03,72.06,0.03,7400,5589
09:33:26.241,72.03,72.07,0.04,7400,5500
09:33:26.243,72.03,72.04,0.01,7400,5589
09:33:34.224,72.03,72.07,0.04,7357,5500
09:33:34.226,72.03,72.06,0.03,7457,5600
09:33:37.331,72.03,72.05,0.02,7300,5700
09:33:37.334,72.03,72.06,0.03,7300,5600
09:33:39.936,72.03,72.07,0.04,7500,5500
09:33:40.737,72.03,72.08,0.05,7400,5400
09:33:41.913,72.04,72.08,0.04,7700,5600
09:33:42.200,72.04,72.09,0.05,7700,5500
09:33:44.171,72.04,72.08,0.04,7700,5600
09:33:44.523,72.06,72.08,0.02,7500,5600
09:33:45.122,72.06,72.09,0.03,7400,5600
09:33:45.133,72.06,72.08,0.02,7500,5700
09:33:50.244,72.07,72.08,0.01,7657,5700
09:33:50.435,72.07,72.09,0.02,7657,5600
09:33:50.437,72.07,72.1,0.03,7657,5500
09:33:50.726,72.07,72.11,0.04,7757,5600
09:33:50.839,72.07,72.1,0.03,7757,5800
09:33:51.138,72.07,72.11,0.04,7757,5700
09:33:51.619,72.07,72.1,0.03,7757,5800
09:33:52.358,72.07,72.11,0.04,7700,5700
09:33:53.044,72.07,72.1,0.03,7700,5800
09:33:53.174,72.07,72.09,0.02,7700,6000
09:33:53.749,72.04,72.09,0.05,7500,6000
09:33:53.951,72.07,72.09,0.02,7600,6000
09:33:56.177,72.04,72.09,0.05,7500,6000
09:33:57.044,72.05,72.09,0.04,7600,6000
09:33:57.055,72.04,72.09,0.05,7500,6000
09:33:58.942,72.04,72.1,0.06,7800,6100
09:33:59.120,72.05,72.1,0.05,7900,6100
09:34:01.566,72.05,72.09,0.04,7900,6200
09:34:01.610,72.06,72.09,0.03,8100,6200
09:34:01.846,72.04,72.09,0.05,7800,6200
09:34:01.948,72.07,72.09,0.02,8100,6200
09:34:12.696,72.08,72.09,0.01,8100,6500
09:34:14.884,72.07,72.09,0.02,8100,6500
09:34:14.886,72.07,72.08,0.01,8100,6800
09:34:15.589,72.05,72.08,0.03,8000,6600
09:34:15.617,72.04,72.08,0.04,7900,6700
09:34:17.817,72.03,72.08,0.05,7800,6800
09:34:17.918,72.04,72.08,0.04,7900,6800
09:34:18.656,72.04,72.07,0.03,7900,6900
09:34:18.700,72.03,72.07,0.04,7800,7000
09:34:21.218,72.04,72.07,0.03,7900,7203
09:34:22.425,72.03,72.07,0.04,7800,7203
09:34:26.138,72.05,72.07,0.02,7900,7606
09:34:28.040,72.05,72.06,0.01,8000,7906
09:34:28.317,72.05,72.07,0.02,8200,7406
09:34:29.751,72.05,72.08,0.03,8300,7506
09:34:33.094,72.06,72.08,0.02,8200,7406
09:34:43.896,72.04,72.08,0.04,8000,7606
09:34:43.920,72.03,72.08,0.05,7900,7606
09:34:44.123,72.02,72.08,0.06,7800,7506
09:34:45.827,72.03,72.08,0.05,7900,7506
09:34:49.525,72.02,72.08,0.06,7800,7406
09:34:51.021,72.02,72.06,0.04,8100,7606
09:34:56.852,72.03,72.06,0.03,8400,8406
09:34:56.862,72.04,72.06,0.02,8600,8006
09:34:58.416,72.03,72.06,0.03,8500,8406
09:34:58.426,72.02,72.06,0.04,7900,8306
09:35:00.063,72.03,72.06,0.03,8300,8406
09:35:00.068,72.02,72.06,0.04,7900,8406
09:35:00.071,72.01,72.06,0.05,8300,8406
09:35:00.073,72.02,72.06,0.04,8400,8506
09:35:00.079,72.01,72.06,0.05,8300,8506
09:35:00.083,72.02,72.06,0.04,8400,8506
09:35:00.095,72.02,72.05,0.03,8400,8606
09:35:00.108,72.01,72.05,0.04,8300,8806
09:35:00.189,72.0,72.05,0.05,7900,8706
09:35:01.053,72.01,72.05,0.04,8300,9006
09:35:02.226,72.02,72.05,0.03,8400,9006
09:35:02.819,72.01,72.05,0.04,9300,9106
09:35:02.820,72.0,72.05,0.05,9000,9106
09:35:02.988,72.0,72.04,0.04,9100,9206
09:35:03.069,72.01,72.04,0.03,9400,9206
09:35:03.072,72.0,72.04,0.04,9000,9206
09:35:03.171,72.0,72.02,0.02,9400,9306
09:35:03.277,72.01,72.02,0.01,9500,9406
09:35:03.286,72.0,72.02,0.02,9400,9406
09:35:04.162,72.0,72.01,0.01,9200,11006
09:35:04.169,71.99,72.01,0.02,9100,11106
09:35:04.538,72.0,72.01,0.01,9300,11306
09:35:05.170,71.99,72.01,0.02,9200,11306
09:35:05.324,71.99,72.0,0.01,9200,11506
09:35:05.345,71.98,72.0,0.02,9100,11406
09:35:05.411,71.97,72.0,0.03,8900,11306
09:35:05.412,71.97,71.99,0.02,8900,11406
09:35:05.420,71.97,71.98,0.01,8900,11806
09:35:05.424,71.97,71.99,0.02,9000,11506
09:35:05.434,71.98,71.99,0.01,9100,11506
09:35:05.448,71.97,71.99,0.02,9000,11506
09:35:05.477,71.97,71.98,0.01,9000,11706
09:35:05.480,71.97,71.99,0.02,9200,11406
09:35:05.526,71.98,71.99,0.01,9500,11406
09:35:05.529,71.97,71.99,0.02,9300,11406
09:35:05.581,71.97,71.98,0.01,9100,11806
09:35:06.000,71.97,71.99,0.02,9100,11706
09:35:06.004,71.98,71.99,0.01,9100,11706
09:35:06.004,71.97,71.99,0.02,9000,11706
09:35:06.004,71.98,71.99,0.01,9100,11706
09:35:06.004,71.97,71.99,0.02,9000,11706
09:35:06.005,71.97,71.98,0.01,9000,11806
09:35:06.044,71.96,71.98,0.02,8900,11806
09:35:06.048,71.96,71.97,0.01,8900,11906
09:35:06.152,71.95,71.97,0.02,8800,11806
09:35:06.315,71.95,71.98,0.03,8900,11706
09:35:06.316,71.96,71.98,0.02,9000,11806
09:35:06.322,71.96,71.97,0.01,9200,12006
09:35:06.322,71.96,71.98,0.02,9200,11906
09:35:06.371,71.95,71.98,0.03,8900,11806
09:35:06.372,71.96,71.98,0.02,9000,11906
09:35:06.373,71.95,71.98,0.03,8900,11906
09:35:06.373,71.96,71.98,0.02,8900,11906
